Rep_ID,HCP_ID,Rep_Experience_Years,Territory_Size,HCP_Specialty,HCP_Patient_Volume,HCP_Digital_Affinity,Suggestion_Type,Action_Type,Suggestion_Accepted,Incremental_Actions,Baseline_TRX,Post_TRX,Incremental_TRX,Baseline_NBRX,Post_NBRX,Incremental_NBRX
25,463,10.3,198,Neurology,64,0.253,Insights,Insights,1,2,24.0,29.35,5.35,3.0,5.28,2.28
62,376,11.3,183,Primary Care,85,0.101,Call,Call,1,5,23.0,32.11,9.11,2.0,5.0,3.0
67,241,8.8,42,Cardiology,79,0.319,Email,Email,1,3,14.0,20.23,6.23,5.0,6.64,1.64
35,262,17.5,101,Neurology,80,0.027,Email,Call,1,3,14.0,18.02,4.02,8.0,9.4,1.4
65,130,4.0,150,Oncology,88,0.424,Call,Call,0,0,21.0,21.18,0.18,2.0,2.24,0.24
68,331,3.4,153,Oncology,80,0.49,Insights,Insights,1,1,18.0,22.54,4.54,8.0,10.26,2.26
31,121,7.9,33,Primary Care,71,0.265,All,All,1,3,10.0,17.68,7.68,5.0,6.54,1.54
72,171,5.3,163,Neurology,79,0.107,Email,Email,0,0,14.0,14.05,0.05,2.0,2.34,0.34
24,133,5.7,177,Oncology,88,0.176,All,Call,0,0,11.0,11.08,0.08,6.0,6.39,0.39
20,168,4.7,153,Oncology,67,0.519,Call,Call,0,0,10.0,10.19,0.19,3.0,3.06,0.06
55,184,12.2,128,Neurology,88,0.178,All,All,1,6,27.0,37.37,10.37,3.0,5.81,2.81
51,42,15.3,66,Oncology,78,0.55,Email,Email,1,1,13.0,17.04,4.04,5.0,6.29,1.29
12,359,13.9,58,Cardiology,90,0.489,All,Call,0,0,10.0,10.19,0.19,7.0,7.17,0.17
67,221,8.8,42,Neurology,71,0.5,All,Call,1,1,17.0,21.08,4.08,4.0,5.1,1.1
16,475,15.5,62,Cardiology,80,0.758,All,All,0,0,13.0,13.24,0.24,3.0,3.05,0.05
65,91,4.0,150,Neurology,80,0.394,All,Email,0,0,12.0,12.82,0.82,3.0,3.14,0.14
1,335,18.1,130,Neurology,87,0.039,Call,Call,0,0,16.0,16.65,0.65,3.0,3.14,0.14
64,90,18.8,49,Neurology,69,0.307,All,Call,1,4,17.0,21.58,4.58,4.0,6.12,2.12
63,274,15.4,190,Primary Care,79,0.327,Insights,Call,0,0,15.0,15.39,0.39,3.0,3.07,0.07
63,246,15.4,190,Primary Care,86,0.14,Call,Call,0,0,19.0,19.17,0.17,2.0,2.13,0.13
54,225,18.8,54,Primary Care,78,0.565,All,Email,1,2,15.0,20.19,5.19,1.0,3.35,2.35
38,328,2.6,161,Cardiology,83,0.37,Call,Call,0,0,10.0,10.14,0.14,4.0,4.08,0.08
57,415,6.8,128,Primary Care,79,0.153,Call,Call,0,0,16.0,16.38,0.38,9.0,9.32,0.32
23,159,8.9,67,Cardiology,86,0.338,All,Insights,1,1,13.0,17.61,4.61,6.0,7.14,1.14
63,425,15.4,190,Cardiology,86,0.128,Call,Insights,0,0,9.0,9.04,0.04,7.0,7.32,0.32
45,93,5.0,150,Primary Care,92,0.396,Email,Email,0,0,15.0,15.16,0.16,2.0,2.22,0.22
37,147,10.3,187,Cardiology,86,0.24,Call,Call,0,0,15.0,15.39,0.39,6.0,6.16,0.16
41,156,8.8,52,Cardiology,82,0.277,All,All,1,4,18.0,26.62,8.62,3.0,4.79,1.79
46,477,14.6,60,Primary Care,81,0.627,All,Call,1,4,26.0,31.73,5.73,2.0,4.53,2.53
3,60,1.5,33,Neurology,96,0.578,Email,Email,0,0,21.0,22.13,1.13,4.0,4.01,0.01
12,198,13.9,58,Oncology,69,0.558,Insights,Email,1,2,16.0,18.96,2.96,4.0,4.36,0.36
20,213,4.7,153,Cardiology,83,0.393,Insights,Insights,0,0,13.0,13.07,0.07,7.0,7.05,0.05
10,401,19.4,180,Primary Care,88,0.017,Insights,Insights,0,0,12.0,12.79,0.79,6.0,6.05,0.05
36,243,9.2,60,Oncology,79,0.327,Insights,Insights,0,0,10.0,10.11,0.11,4.0,4.07,0.07
54,484,18.8,54,Oncology,81,0.394,All,All,1,3,16.0,21.95,5.95,3.0,5.52,2.52
53,371,14.4,171,Oncology,79,0.598,Call,Call,1,6,16.0,26.83,10.83,2.0,4.36,2.36
38,352,2.6,161,Oncology,76,0.756,Call,Call,1,1,16.0,22.4,6.4,5.0,5.81,0.81
69,377,19.6,188,Primary Care,70,0.168,Insights,Insights,0,0,13.0,13.11,0.11,3.0,3.25,0.25
46,81,14.6,60,Cardiology,93,0.439,Call,Call,0,0,9.0,9.14,0.14,7.0,7.3,0.3
7,225,16.5,42,Primary Care,78,0.565,Call,Call,1,3,12.0,19.22,7.22,4.0,6.04,2.04
62,294,11.3,183,Neurology,81,0.318,Email,Email,1,9,18.0,29.55,11.55,3.0,8.71,5.71
46,105,14.6,60,Cardiology,70,0.342,Email,Insights,1,1,21.0,25.96,4.96,4.0,4.13,0.13
51,60,15.3,66,Neurology,96,0.578,All,Call,1,2,16.0,24.33,8.33,2.0,3.67,1.67
46,68,14.6,60,Primary Care,67,0.536,Email,Email,0,0,19.0,21.32,2.32,1.0,1.19,0.19
45,395,5.0,150,Primary Care,82,0.363,Insights,Insights,0,0,13.0,14.34,1.34,4.0,4.1,0.1
8,329,17.0,116,Cardiology,70,0.471,All,Call,1,3,13.0,21.28,8.28,6.0,8.31,2.31
45,141,5.0,150,Cardiology,68,0.434,Email,Email,0,0,14.0,14.04,0.04,6.0,6.14,0.14
64,369,18.8,49,Oncology,91,0.499,Email,Insights,0,0,17.0,17.15,0.15,4.0,4.1,0.1
25,348,10.3,198,Oncology,88,0.382,Call,Call,1,5,14.0,22.53,8.53,7.0,9.37,2.37
49,409,14.2,24,Primary Care,87,0.647,Insights,Insights,1,0,14.0,18.97,4.97,5.0,6.88,1.88
3,456,1.5,33,Cardiology,75,0.223,Call,Call,0,0,16.0,16.01,0.01,1.0,1.01,0.01
28,442,19.3,22,Neurology,86,0.281,Insights,Email,0,0,14.0,14.18,0.18,4.0,4.08,0.08
35,91,17.5,101,Neurology,80,0.394,Email,Email,1,3,8.0,12.61,4.61,0.0,1.5,1.5
79,385,19.8,87,Primary Care,88,0.763,Email,Email,1,4,18.0,26.58,8.58,8.0,11.68,3.68
18,197,7.3,45,Primary Care,70,0.318,Email,Email,0,0,22.0,22.05,0.05,5.0,5.01,0.01
23,202,8.9,67,Oncology,69,0.55,Call,Call,0,0,14.0,14.45,0.45,6.0,6.53,0.53
33,324,7.1,115,Neurology,72,0.393,Call,Call,1,2,20.0,25.15,5.15,6.0,7.01,1.01
80,302,5.0,190,Primary Care,86,0.283,All,Insights,1,2,20.0,26.77,6.77,7.0,8.84,1.84
69,210,19.6,188,Neurology,81,0.65,Email,Email,1,4,15.0,22.64,7.64,6.0,8.86,2.86
3,500,1.5,33,Neurology,86,0.438,Insights,Insights,1,8,16.0,29.37,13.37,4.0,7.29,3.29
19,88,12.9,81,Neurology,81,0.53,Insights,Insights,1,4,20.0,28.82,8.82,5.0,7.96,2.96
66,49,3.4,187,Primary Care,72,0.425,Insights,Insights,0,0,22.0,22.82,0.82,5.0,5.05,0.05
5,15,14.3,123,Primary Care,71,0.274,Insights,Insights,1,1,9.0,12.1,3.1,3.0,4.35,1.35
69,408,19.6,188,Cardiology,85,0.605,Email,Email,1,2,15.0,21.18,6.18,6.0,7.51,1.51
23,204,8.9,67,Primary Care,73,0.492,Insights,Insights,1,2,15.0,21.33,6.33,5.0,6.36,1.36
74,219,19.7,62,Neurology,73,0.039,Call,Call,1,0,16.0,22.66,6.66,4.0,4.36,0.36
24,325,5.7,177,Neurology,75,0.759,All,Insights,1,1,17.0,24.95,7.95,4.0,4.51,0.51
35,218,17.5,101,Cardiology,77,0.354,Email,Email,1,5,15.0,22.02,7.02,4.0,6.84,2.84
53,287,14.4,171,Neurology,72,0.386,All,All,1,2,22.0,26.95,4.95,4.0,5.69,1.69
11,30,14.7,189,Neurology,91,0.336,Insights,Insights,0,0,18.0,18.57,0.57,3.0,3.17,0.17
45,79,5.0,150,Neurology,91,0.237,Insights,Insights,0,0,11.0,11.24,0.24,3.0,3.16,0.16
41,467,8.8,52,Neurology,82,0.399,Email,Email,1,1,18.0,23.65,5.65,4.0,5.2,1.2
63,226,15.4,190,Primary Care,76,0.391,Insights,Insights,0,0,12.0,12.23,0.23,2.0,2.03,0.03
80,84,5.0,190,Cardiology,89,0.343,All,Call,0,0,12.0,12.39,0.39,4.0,4.07,0.07
54,185,18.8,54,Cardiology,94,0.671,Call,Call,1,1,11.0,16.51,5.51,3.0,5.34,2.34
33,168,7.1,115,Oncology,67,0.519,Call,All,1,5,14.0,20.95,6.95,6.0,7.46,1.46
33,138,7.1,115,Neurology,74,0.142,Email,Email,0,0,9.0,9.25,0.25,5.0,5.05,0.05
34,147,1.0,82,Cardiology,86,0.24,Call,Call,1,2,11.0,15.65,4.65,2.0,3.49,1.49
66,365,3.4,187,Primary Care,94,0.448,All,All,0,0,15.0,15.09,0.09,3.0,3.02,0.02
26,54,8.4,99,Primary Care,70,0.118,Call,Call,0,0,14.0,15.22,1.22,3.0,3.04,0.04
14,155,1.0,123,Primary Care,70,0.546,All,Insights,1,2,13.0,19.63,6.63,1.0,2.53,1.53
27,234,14.9,28,Neurology,83,0.397,All,All,1,2,18.0,24.27,6.27,5.0,5.92,0.92
2,271,6.3,75,Neurology,87,0.401,Insights,Insights,0,0,12.0,12.6,0.6,3.0,3.09,0.09
9,441,12.2,167,Oncology,82,0.069,Insights,Insights,0,0,10.0,10.12,0.12,2.0,2.15,0.15
8,462,17.0,116,Primary Care,65,0.088,Insights,Insights,0,0,16.0,16.38,0.38,8.0,8.21,0.21
62,149,11.3,183,Neurology,68,0.531,Insights,Insights,0,0,19.0,19.4,0.4,5.0,5.09,0.09
58,270,14.5,120,Primary Care,86,0.471,Email,Email,1,5,13.0,24.02,11.02,7.0,9.32,2.32
56,12,12.0,85,Neurology,80,0.218,All,All,1,1,12.0,16.71,4.71,6.0,7.27,1.27
37,309,10.3,187,Primary Care,92,0.488,All,All,1,7,10.0,20.95,10.95,3.0,6.63,3.63
58,77,14.5,120,Neurology,75,0.827,Call,Call,1,1,15.0,18.63,3.63,2.0,3.7,1.7
13,37,7.9,51,Cardiology,84,0.317,All,Insights,1,3,11.0,20.08,9.08,5.0,6.26,1.26
73,336,9.5,80,Cardiology,79,0.289,All,Call,1,1,12.0,16.44,4.44,3.0,3.91,0.91
41,90,8.8,52,Neurology,69,0.307,Call,Call,0,0,14.0,14.03,0.03,4.0,4.17,0.17
76,239,1.2,80,Cardiology,88,0.392,All,All,0,0,15.0,15.22,0.22,1.0,1.43,0.43
13,51,7.9,51,Primary Care,83,0.092,Insights,Insights,1,2,14.0,22.67,8.67,2.0,3.63,1.63
40,373,4.2,152,Neurology,92,0.427,Email,Call,0,0,19.0,20.22,1.22,5.0,5.01,0.01
56,383,12.0,85,Cardiology,73,0.163,Email,Insights,0,0,7.0,7.12,0.12,6.0,6.08,0.08
40,288,4.2,152,Primary Care,84,0.271,Call,Call,0,0,13.0,14.04,1.04,5.0,5.18,0.18
36,418,9.2,60,Cardiology,83,0.342,All,All,1,1,11.0,16.37,5.37,0.0,2.73,2.73
14,219,1.0,123,Neurology,73,0.039,Call,Call,0,0,18.0,18.28,0.28,3.0,3.14,0.14
31,94,7.9,33,Cardiology,64,0.307,All,All,1,5,19.0,29.22,10.22,6.0,8.54,2.54
20,76,4.7,153,Oncology,85,0.826,Insights,Insights,1,1,9.0,13.47,4.47,3.0,4.03,1.03
25,110,10.3,198,Neurology,78,0.263,Insights,Email,1,2,10.0,14.86,4.86,4.0,4.36,0.36
55,101,12.2,128,Cardiology,69,0.507,Call,Call,1,4,11.0,19.05,8.05,8.0,9.8,1.8
51,162,15.3,66,Oncology,74,0.62,Call,Call,0,0,14.0,15.46,1.46,4.0,4.09,0.09
49,108,14.2,24,Primary Care,76,0.337,Email,All,0,0,18.0,18.67,0.67,3.0,3.0,0.0
29,296,12.2,174,Oncology,68,0.223,Email,Email,1,3,8.0,13.62,5.62,6.0,7.25,1.25
77,75,5.6,150,Oncology,88,0.31,Email,Email,1,2,13.0,20.58,7.58,5.0,6.19,1.19
8,311,17.0,116,Primary Care,74,0.685,Email,Email,1,4,20.0,28.15,8.15,4.0,5.77,1.77
28,168,19.3,22,Oncology,67,0.519,Email,All,0,0,18.0,18.53,0.53,3.0,3.04,0.04
10,344,19.4,180,Cardiology,99,0.496,Insights,Call,1,2,12.0,16.79,4.79,8.0,8.89,0.89
28,257,19.3,22,Neurology,92,0.677,Call,Email,0,0,13.0,13.09,0.09,9.0,9.17,0.17
77,453,5.6,150,Cardiology,81,0.285,Call,Insights,0,0,16.0,16.01,0.01,3.0,3.38,0.38
30,220,12.2,100,Cardiology,75,0.559,All,Call,1,2,15.0,20.12,5.12,4.0,6.48,2.48
73,148,9.5,80,Neurology,80,0.513,Insights,Insights,0,0,11.0,11.07,0.07,4.0,4.18,0.18
40,295,4.2,152,Primary Care,84,0.131,All,All,0,0,12.0,12.01,0.01,2.0,2.15,0.15
56,330,12.0,85,Oncology,70,0.262,Insights,Insights,1,4,16.0,22.79,6.79,4.0,5.63,1.63
37,220,10.3,187,Cardiology,75,0.559,Email,Email,0,0,13.0,13.11,0.11,5.0,5.18,0.18
22,280,19.0,38,Cardiology,73,0.54,All,All,1,4,11.0,18.11,7.11,2.0,4.83,2.83
62,236,11.3,183,Oncology,78,0.503,All,All,1,6,27.0,37.01,10.01,3.0,6.72,3.72
78,153,19.6,86,Oncology,81,0.134,Insights,Insights,0,0,14.0,14.31,0.31,6.0,6.12,0.12
22,157,19.0,38,Oncology,85,0.547,Insights,Insights,1,3,14.0,19.98,5.98,4.0,5.63,1.63
63,454,15.4,190,Cardiology,84,0.267,Call,Call,0,0,19.0,19.13,0.13,7.0,7.08,0.08
21,338,6.0,31,Neurology,80,0.149,Call,Call,1,2,12.0,17.88,5.88,3.0,3.56,0.56
58,48,14.5,120,Neurology,89,0.023,All,Call,0,0,11.0,11.88,0.88,2.0,2.06,0.06
64,482,18.8,49,Oncology,82,0.164,Insights,Insights,1,0,14.0,18.41,4.41,6.0,6.69,0.69
36,357,9.2,60,Primary Care,73,0.27,Email,Email,1,3,14.0,21.45,7.45,4.0,5.59,1.59
59,26,17.8,73,Oncology,78,0.357,Email,Email,1,1,13.0,19.39,6.39,3.0,3.9,0.9
22,364,19.0,38,Oncology,79,0.603,Email,Email,1,3,13.0,20.88,7.88,3.0,5.04,2.04
7,295,16.5,42,Primary Care,84,0.131,Call,Call,0,0,12.0,12.52,0.52,4.0,4.39,0.39
8,458,17.0,116,Primary Care,87,0.194,Call,Call,1,2,13.0,21.95,8.95,7.0,9.19,2.19
36,245,9.2,60,Cardiology,73,0.766,All,Call,1,5,11.0,17.0,6.0,6.0,10.01,4.01
73,260,9.5,80,Cardiology,90,0.209,Email,Email,0,0,18.0,18.25,0.25,3.0,4.09,1.09
11,158,14.7,189,Cardiology,88,0.423,Call,Call,1,5,13.0,23.28,10.28,7.0,8.84,1.84
37,161,10.3,187,Primary Care,69,0.591,Email,All,1,7,11.0,19.37,8.37,3.0,5.84,2.84
57,309,6.8,128,Primary Care,92,0.488,Insights,Insights,1,2,12.0,18.2,6.2,5.0,6.56,1.56
17,414,14.5,38,Primary Care,80,0.738,Insights,Insights,1,1,13.0,17.37,4.37,3.0,4.69,1.69
58,446,14.5,120,Primary Care,98,0.446,Insights,Insights,1,0,18.0,20.85,2.85,4.0,4.26,0.26
25,386,10.3,198,Cardiology,87,0.372,All,Insights,0,0,14.0,14.03,0.03,3.0,3.21,0.21
65,305,4.0,150,Primary Care,80,0.047,All,Email,1,3,9.0,15.92,6.92,5.0,7.38,2.38
47,251,19.6,145,Primary Care,90,0.67,All,Call,0,0,10.0,10.58,0.58,1.0,1.0,0.0
44,170,18.7,26,Oncology,85,0.258,All,Call,0,0,26.0,26.11,0.11,7.0,7.06,0.06
15,384,5.6,103,Oncology,93,0.521,Call,Call,1,3,21.0,27.09,6.09,4.0,6.45,2.45
38,160,2.6,161,Primary Care,88,0.064,Insights,Email,0,0,19.0,19.08,0.08,6.0,6.41,0.41
69,134,19.6,188,Neurology,80,0.588,Call,Call,1,2,15.0,20.06,5.06,6.0,8.46,2.46
2,434,6.3,75,Oncology,69,0.545,All,All,0,0,12.0,13.29,1.29,4.0,4.55,0.55
61,295,5.4,66,Primary Care,84,0.131,Email,Email,0,0,23.0,23.07,0.07,4.0,4.11,0.11
40,178,4.2,152,Oncology,75,0.326,Email,Email,1,2,22.0,28.49,6.49,4.0,5.56,1.56
58,433,14.5,120,Cardiology,83,0.355,Email,Call,1,1,14.0,16.81,2.81,5.0,5.0,0.0
54,482,18.8,54,Oncology,82,0.164,Insights,Insights,1,1,12.0,18.34,6.34,5.0,5.41,0.41
35,159,17.5,101,Cardiology,86,0.338,Insights,Insights,0,0,14.0,14.02,0.02,4.0,4.15,0.15
25,261,10.3,198,Primary Care,92,0.673,Email,Email,1,1,15.0,22.27,7.27,4.0,5.39,1.39
51,242,15.3,66,Primary Care,74,0.264,Insights,Email,0,0,27.0,27.12,0.12,7.0,7.11,0.11
12,351,13.9,58,Cardiology,67,0.51,Call,Email,1,5,19.0,22.99,3.99,2.0,3.71,1.71
47,476,19.6,145,Cardiology,89,0.053,All,All,0,0,14.0,14.34,0.34,3.0,4.13,1.13
8,275,17.0,116,Cardiology,94,0.648,Email,Email,1,7,13.0,25.31,12.31,8.0,10.71,2.71
52,400,18.3,191,Neurology,85,0.085,Email,Email,1,0,16.0,21.0,5.0,3.0,3.4,0.4
51,298,15.3,66,Oncology,79,0.701,Insights,All,1,4,10.0,14.07,4.07,4.0,4.99,0.99
